Cliente,Antiguedad_Mes,Plan_Precio,Perfil_Pagador,Cantidad_Lineas,Claro_Club,Reclamos_Mes,Reclamos_Resueltos,Reclamo_Frecuente,DatosGB_Mes,Razon_Abandono
C0089,12,110,critico,1,no,8,1,cobro excesivo,24,mala conexion
C0090,23,130,excelente,2,si,3,3,problema de cobertura,50,mala conexion
C0091,9,150,critico,1,no,5,1,mala atencion,41,mala atencion
C0092,46,200,excelente,3,si,3,1,pocas ofertas,102,pocas promociones
C0093,4,80,regular,1,no,3,0,baja velocidad,18,mala conexion
C0094,24,120,excelente,2,si,1,0,pocas ofertas,64,pocas promociones
C0095,37,180,critico,4,si,7,2,cobro excesivo,85,precios altos
C0096,4,70,regular,1,no,4,0,problema de cobertura,5,precios altos
C0097,63,250,excelente,5,si,3,0,mala atencion,115,mala atencion
C0098,12,90,regular,2,no,3,1,pocas ofertas,26,pocas promociones
C0099,8,110,critico,1,no,6,1,cobro excesivo,22,precios altos
C0100,19,130,excelente,2,si,4,3,problema de cobertura,48,mala conexion
C0101,12,150,critico,1,no,6,1,mala atencion,39,mala atencion
C0102,49,200,excelente,3,si,1,1,pocas ofertas,100,precios altos
C0103,7,80,regular,1,no,4,0,baja velocidad,16,mala conexion
C0104,27,120,excelente,2,si,2,0,pocas ofertas,62,pocas promociones
C0105,33,180,critico,4,si,5,2,cobro excesivo,83,pocas promociones
C0106,1,70,regular,1,no,5,0,problema de cobertura,14,mala conexion
C0107,59,250,excelente,5,si,4,0,mala atencion,125,mala atencion
C0108,15,90,regular,2,no,1,1,pocas ofertas,24,pocas promociones
C0109,11,110,critico,1,no,7,1,cobro excesivo,20,precios altos
C0110,22,130,excelente,2,si,5,3,problema de cobertura,46,mala conexion
C0111,15,150,critico,1,no,4,1,mala atencion,37,mala atencion
C0112,45,200,excelente,3,si,2,1,pocas ofertas,98,precios altos
C0113,3,80,regular,1,no,5,0,baja velocidad,14,mala conexion
C0114,23,120,excelente,2,si,0,0,pocas ofertas,60,mala atencion
C0115,36,180,critico,4,si,6,2,cobro excesivo,81,precios altos
C0116,3,70,regular,1,no,6,0,problema de cobertura,12,mala conexion
C0117,62,250,excelente,5,si,2,0,mala atencion,123,mala atencion
C0118,18,90,regular,2,no,2,1,pocas ofertas,34,pocas promociones
C0119,7,110,critico,1,no,8,1,cobro excesivo,30,precios altos
C0120,18,130,excelente,2,si,3,3,problema de cobertura,44,mala conexion
C0121,11,150,critico,1,no,5,1,mala atencion,35,mala atencion
C0122,48,200,excelente,3,si,3,1,pocas ofertas,96,precios altos
C0123,6,80,regular,1,no,3,0,baja velocidad,12,mala conexion
C0124,26,120,excelente,2,si,1,0,pocas ofertas,58,pocas promociones
C0125,39,180,critico,4,si,7,2,cobro excesivo,79,precios altos
C0126,1,70,regular,1,no,4,0,problema de cobertura,10,mala conexion
C0127,58,250,excelente,5,si,3,0,mala atencion,121,mala atencion
C0128,14,90,regular,2,no,3,1,pocas ofertas,32,pocas promociones
C0129,10,110,critico,1,no,6,1,cobro excesivo,28,precios altos
C0130,21,130,excelente,2,si,4,3,problema de cobertura,54,mala conexion
C0131,14,150,critico,1,no,6,1,mala atencion,45,mala atencion
C0132,51,200,excelente,3,si,1,1,pocas ofertas,94,precios altos
C0133,2,80,regular,1,no,4,0,baja velocidad,10,mala atencion
C0134,22,120,excelente,2,si,2,0,pocas ofertas,56,pocas promociones
C0135,35,180,critico,4,si,5,2,cobro excesivo,77,precios altos
C0136,2,70,regular,1,no,5,0,problema de cobertura,8,mala conexion
C0137,61,250,excelente,5,si,4,0,mala atencion,119,mala atencion
C0138,17,90,regular,2,no,1,1,pocas ofertas,30,mala atencion
C0139,13,110,critico,1,no,7,1,cobro excesivo,26,precios altos
C0140,17,130,excelente,2,si,5,3,problema de cobertura,52,mala atencion
C0141,10,150,critico,1,no,4,1,mala atencion,43,mala atencion
C0142,47,200,excelente,3,si,2,1,pocas ofertas,104,precios altos
C0143,5,80,regular,1,no,5,0,baja velocidad,20,precios altos
C0144,25,120,excelente,2,si,0,0,pocas ofertas,54,pocas promociones
C0145,38,180,critico,4,si,6,2,cobro excesivo,75,precios altos
C0146,5,70,regular,1,no,6,0,problema de cobertura,6,mala conexion
C0147,57,250,excelente,5,si,2,0,mala atencion,117,mala atencion
C0148,13,90,regular,2,no,2,1,pocas ofertas,28,pocas promociones
C0149,9,110,critico,1,no,8,1,cobro excesivo,24,precios altos
C0150,20,130,excelente,2,si,3,3,problema de cobertura,50,mala conexion
C0151,13,150,critico,1,no,5,1,mala atencion,41,mala atencion
C0152,50,200,excelente,3,si,3,1,pocas ofertas,102,precios altos
C0153,8,80,regular,1,no,3,0,baja velocidad,18,precios altos
C0154,21,120,excelente,2,si,1,0,pocas ofertas,64,pocas promociones
C0155,34,180,critico,4,si,7,2,cobro excesivo,85,pocas promociones
C0156,1,70,regular,1,no,4,0,problema de cobertura,5,mala conexion
C0157,60,250,excelente,5,si,3,0,mala atencion,115,pocas promociones
C0158,16,90,regular,2,no,3,1,pocas ofertas,26,pocas promociones
C0159,12,110,critico,1,no,6,1,cobro excesivo,22,mala atencion
C0160,23,130,excelente,2,si,4,3,problema de cobertura,48,mala conexion
C0161,9,150,critico,1,no,6,1,mala atencion,39,mala atencion
C0162,46,200,excelente,3,si,1,1,pocas ofertas,100,precios altos
C0163,4,80,regular,1,no,4,0,baja velocidad,16,mala conexion
C0164,24,120,excelente,2,si,2,0,pocas ofertas,62,pocas promociones
C0165,37,180,critico,4,si,5,2,cobro excesivo,83,precios altos
C0166,4,70,regular,1,no,5,0,problema de cobertura,14,mala conexion
C0167,63,250,excelente,5,si,4,0,mala atencion,125,mala atencion
C0168,12,90,regular,2,no,1,1,pocas ofertas,24,pocas promociones
C0169,8,110,critico,1,no,7,1,cobro excesivo,20,precios altos
C0170,19,130,excelente,2,si,5,3,problema de cobertura,46,mala atencion
C0171,12,150,critico,1,no,4,1,mala atencion,37,mala atencion
C0172,49,200,excelente,3,si,2,1,pocas ofertas,98,precios altos
C0173,7,80,regular,1,no,5,0,baja velocidad,14,precios altos
C0174,27,120,excelente,2,si,0,0,pocas ofertas,60,pocas promociones
C0175,33,180,critico,4,si,6,2,cobro excesivo,81,precios altos
C0176,1,70,regular,1,no,6,0,problema de cobertura,12,mala conexion
C0177,59,250,excelente,5,si,2,0,mala atencion,123,mala atencion
C0178,15,90,regular,2,no,2,1,pocas ofertas,34,pocas promociones
C0179,11,110,critico,1,no,8,1,cobro excesivo,30,mala conexion
C0180,22,130,excelente,2,si,3,3,problema de cobertura,44,mala conexion
C0181,15,150,critico,1,no,5,1,mala atencion,35,mala atencion
C0182,45,200,excelente,3,si,3,1,pocas ofertas,96,precios altos
C0183,3,80,regular,1,no,3,0,baja velocidad,12,mala conexion
C0184,23,120,excelente,2,si,1,0,pocas ofertas,58,precios altos
C0185,36,180,critico,4,si,7,2,cobro excesivo,79,precios altos
C0186,3,70,regular,1,no,4,0,problema de cobertura,10,mala conexion
C0187,62,250,excelente,5,si,3,0,mala atencion,121,mala atencion
C0188,18,90,regular,2,no,3,1,pocas ofertas,32,pocas promociones
C0189,7,110,critico,1,no,6,1,cobro excesivo,28,precios altos
C0190,18,130,excelente,2,si,4,3,problema de cobertura,54,mala conexion
C0191,11,150,critico,1,no,6,1,mala atencion,45,mala atencion
C0192,48,200,excelente,3,si,1,1,pocas ofertas,94,precios altos
C0193,6,80,regular,1,no,4,0,baja velocidad,10,precios altos
C0194,26,120,excelente,2,si,2,0,pocas ofertas,56,pocas promociones
C0195,39,180,critico,4,si,5,2,cobro excesivo,77,precios altos
C0196,1,70,regular,1,no,5,0,problema de cobertura,8,mala conexion
C0197,58,250,excelente,5,si,4,0,mala atencion,119,mala atencion
C0198,14,90,regular,2,no,1,1,pocas ofertas,30,mala atencion
C0199,10,110,critico,1,no,7,1,cobro excesivo,26,precios altos
C0200,21,130,excelente,2,si,5,3,problema de cobertura,52,mala conexion
